id,username,created_at,lng,lat,text
1516664567627194369,_jvm2222jtk,Wed Apr 20 06:26:25 +0000 2022,-80.1491725,26.150368,"@Robespierre0220 @elonmusk Elon Musk he's right, instead of fucking with our universe, launch one those doo-hickees and find your own."
1516664571838181381,SFLatinxDems,Wed Apr 20 06:26:26 +0000 2022,-122.4359785,37.7706565,The San Francisco Latinx Democratic Club proudly congratulates Dr. Eurania Lopez for her recent appointment as Libr… https://t.co/ee1hpd5Bwl
1516664574329733127,hanleannejones,Wed Apr 20 06:26:27 +0000 2022,-96.29164850000001,30.585471499999997,"D after I touched his butt today in the parking lot- *opens the door for me* “get in the truck, let’s go, I can’t t… https://t.co/SPuOjBDC1c"
1516664574505721859,GPappalardo,Wed Apr 20 06:26:27 +0000 2022,-116.9523525,32.7992535,"9 year old just said a kid at school ""told him milf's we're bad."" and I was like, ummm,  not necessarily."
1516664575772430342,wantingproject,Wed Apr 20 06:26:27 +0000 2022,-118.4119065,34.0207895,@itsdevinity Such a brat :)
1516664576401494018,be_VIGIL_ant,Wed Apr 20 06:26:27 +0000 2022,-119.3991815,36.5512875,Exhausted would be an understatement
1516664580344320000,MichaelHart912,Wed Apr 20 06:26:28 +0000 2022,-90.1786295,30.001244,"@jdex2456 1 seed NBA teams can win a playoff game at home agaisnt a 10 seed without one player. Stop. I love Book,… https://t.co/dq9VAQLjjo"
1516664581178990593,IsaiahWise19,Wed Apr 20 06:26:29 +0000 2022,-96.053431,41.275721000000004,just tryna turn my dreams into reality🤞🏾
1516664581506035712,Zeus_WorldWide,Wed Apr 20 06:26:29 +0000 2022,-118.4119065,34.0207895,"I hate when a person is really hurt and reply back a “😏” LMFAOOO like what, you wanna look like a smirking clown? 🤦🏽‍♂️"
1516664584387674112,Tranceaholic13,Wed Apr 20 06:26:29 +0000 2022,-71.4849735,42.537946,@rahm_loz Lmfao! Is this for real?! 🤣🤣🤣 I know he don't suck that bad. He didn't want to pony up!
1516664586589679617,ChewningEdgar,Wed Apr 20 06:26:30 +0000 2022,-86.791549,36.200008,Dumbass Parents ! I would never have my kid vaccinated
1516664587789246468,DemoTeamPodcast,Wed Apr 20 06:26:30 +0000 2022,-96.7617535,32.819858499999995,@Ryanrexwrex So my cut my wrists and black my eyes
1516664587663331330,MarkAlewineWSB,Wed Apr 20 06:26:30 +0000 2022,-83.40471,33.864339,This Is Why We Chop! https://t.co/8J6vq6Wyn1
1516664588971896832,Icollectkickzz,Wed Apr 20 06:26:30 +0000 2022,-118.4119065,34.0207895,Bro I am higher than Cali gas prices right now
1516664595699613704,BrandonHonaker1,Wed Apr 20 06:26:32 +0000 2022,-83.94716249999999,39.6902135,@eric_crocker @ACJoonMusic Yeah because you people think winning titles is easy
1516664595426906112,CamDimez,Wed Apr 20 06:26:32 +0000 2022,-118.4119065,34.0207895,"Ultra clear Quartz with high vibrations for divination, homeostasis and clarity 💙🧝‍♂️ I felt elf-y, so I'm wearing… https://t.co/f2cykHixXR"
1516664602389590016,thatonehouze,Wed Apr 20 06:26:34 +0000 2022,-84.433106,33.7671945,Why are y’all reposting white titties on my colored timeline?
1516664608316137474,propheticdrmsco,Wed Apr 20 06:26:35 +0000 2022,-118.2445,34.0564,"Just posted a photo @ Los Angeles, California https://t.co/WFuOdKvrlP"
1516664609796767744,WillTSmith5,Wed Apr 20 06:26:35 +0000 2022,-75.117998,40.0048655,@Deivyonne_ Mmmmmmm juiciness 😍😋🍑❤️
1516664611411431424,mconnie_villa,Wed Apr 20 06:26:36 +0000 2022,-118.0071635,33.900901000000005,I’m looking dieter this event!!!
1516664613324001285,claireeeevoyant,Wed Apr 20 06:26:36 +0000 2022,-111.928142,33.392883999999995,I will completely understand when the more intelligent animals take us into captivity and put us in a zoo. we literally deserve it
1516664615903502338,Kristhebarber82,Wed Apr 20 06:26:37 +0000 2022,-82.479513,28.087674999999997,30 minutes til #MoonKnight
1516664621779718147,HughMcBryde,Wed Apr 20 06:26:38 +0000 2022,-110.0447835,46.6798,@capeandcowell More for me and more for thee.
1516664623612809216,Rajeshshen,Wed Apr 20 06:26:39 +0000 2022,-82.6694675,40.365159500000004,@mellowbrat2 Nice shoes 😉
1516664624090734594,lohody,Wed Apr 20 06:26:39 +0000 2022,-111.931711,34.1682535,@Emywinst Epidemiologist vs a podiatrist. Yep. Dr. Fauci wins over poodle cut
1516664624384520193,james_mclamb,Wed Apr 20 06:26:39 +0000 2022,-79.861034,35.1704985,@HenryDe9th @jaf7 @Thereseinpdx Don’t need a picture with Putin to know that her old man was more antisemitic than… https://t.co/szROvD2ND1
1516664624795500547,DariusPotts3,Wed Apr 20 06:26:39 +0000 2022,-79.0021125,35.054626999999996,Them mufuckas big ENOUGH to eat lil Cindy yo thas a no for me and I hate spiders.
1516664625013661699,r_serenta,Wed Apr 20 06:26:39 +0000 2022,-88.16155549999999,30.683649,@garrygl1 Amen. 😍 Beautiful Bird of Paradise.
1516664627551260676,nisarahmad71,Wed Apr 20 06:26:40 +0000 2022,-73.709589,45.605568000000005,Sorry to say guys but our ** Chokidaar buzdil ha ** #امپورٹڈ_حکومت_نامنظور1
1516664627899162624,kinky_horror,Wed Apr 20 06:26:40 +0000 2022,-118.4119065,34.0207895,@MadWolfman @CrispinGlover Agreed on all counts! 🥰
1516664629736353793,atari_celestial,Wed Apr 20 06:26:40 +0000 2022,-112.321276,34.617647000000005,@ZelenskyyUa their number of they so choose to exist... Is simply m106958361...
1516664631137239041,lesbiangenie,Wed Apr 20 06:26:40 +0000 2022,-118.4119065,34.0207895,@callhermilf me resisting the urge to use this as a reaction meme actually I will not resist https://t.co/wOEr1uRpIH
1516664632416653327,TeriCBrownUGA,Wed Apr 20 06:26:41 +0000 2022,-83.1738665,32.6782075,"@ndrew_lawrence Look up the funding for this operation.,"
1516664632814948355,stevencable39,Wed Apr 20 06:26:41 +0000 2022,-117.104989,32.810012,@Infinitians1 Learn to Live Alone(And still be Happy) https://t.co/I08T0oXr5W
1516664632823459841,prodscuba,Wed Apr 20 06:26:41 +0000 2022,-92.342322,34.721886,Nah fr math kinda fun… ladies… is math a turn on he’s or
1516664632261324800,ThomasOtterman,Wed Apr 20 06:26:41 +0000 2022,-149.7587945,61.2350425,@1carolinagirl @halogirl22 @AlexVorkov @grendelvaldez @indieimmy @kemalyildirim @r_rowntree @MaskOfTheDev1l… https://t.co/f9PYvoz8wh
1516664633515515906,GuyLowry21,Wed Apr 20 06:26:41 +0000 2022,-82.6694675,40.365159500000004,@theisa327 I love it too!!!🤤
1516664634979278850,MigoSauce,Wed Apr 20 06:26:41 +0000 2022,-83.1738665,32.6782075,“Behind The Scenes “ #musicvideo #lit #migosauce #streetbaby https://t.co/Kxb6ChDPVQ via @YouTube
1516664645070770178,ArrasheedC,Wed Apr 20 06:26:44 +0000 2022,-74.2327845,40.725693500000006,@kendrasuubi hello sexy https://t.co/5gtAo4JBTj
1516664647209959426,PUREENERGY312,Wed Apr 20 06:26:44 +0000 2022,-89.08477099999999,41.3427785,@HillaryforCO hello
1516664648271118339,lindsaydawn__,Wed Apr 20 06:26:45 +0000 2022,-98.219125,32.21631,I just need my mawmaw right now..
1516664649986543618,lanylean,Wed Apr 20 06:26:45 +0000 2022,-77.0143985,38.898602999999994,@mymixedmania i love that shit 😭😭
1516664658647609346,arrebaabyy,Wed Apr 20 06:26:47 +0000 2022,-115.23443549999999,36.0188045,my cousin said it’s niggas out here rappin about killin niggas and they got a tie dye sweater on 😂
1516664658781896709,FetaFrog,Wed Apr 20 06:26:47 +0000 2022,-122.5889745,45.630589,How the fuck do people afford things like couches and basic furniture????
1516664660983828487,PaulaBoggsBand,Wed Apr 20 06:26:48 +0000 2022,-120.882482,47.273022,@JonathanHumble Thank you!
1516664664167370754,elmachofresco,Wed Apr 20 06:26:48 +0000 2022,-87.9672925,43.0567225,How much chapstick is enough….I see no limit
1516664664460955648,511NY,Wed Apr 20 06:26:48 +0000 2022,-74.57356,39.423311,Construction on #AtlanticCityExpressway WB from East of Exit 9 - Atlantic City International Airport -CR 563 to Wes… https://t.co/AZO6eDDZlM
1516664668516872192,i__am__aka,Wed Apr 20 06:26:49 +0000 2022,-111.928142,33.392883999999995,@camdressler @QuokkaBrew Thank you that’s all I needed to know
1516664670115016706,JingleNutNFT,Wed Apr 20 06:26:50 +0000 2022,-76.50780850000001,37.090301,@DakotaDoge3rd @DeezNutzNFT Soon come my brother! 🤟
1516664670966272001,urduecksalesguy,Wed Apr 20 06:26:50 +0000 2022,-123.13083649999999,49.1742415,➡️ Where Is This❓“I drove all night to get to youIs that all right?”⚡️⚡️ #NameTheClassicCar   ⚡️⚡️… https://t.co/YmO2CBBCkA
1516664673873326081,kingkkiik,Wed Apr 20 06:26:51 +0000 2022,-118.4119065,34.0207895,"The mood at night is always beautiful, because you can immediately go to sleep to replenish energy🥰🥰#sleep… https://t.co/Spi7h5Orrp"
1516664675496304643,stilldabeast73,Wed Apr 20 06:26:51 +0000 2022,-82.5461,27.4765865,@TiaLoops I like this guy https://t.co/pET0B5yh5O
1516664675181621248,diamonwing,Wed Apr 20 06:26:51 +0000 2022,-117.104989,32.810012,"If you guessed @kindagingerkane , you’re correct 😈 https://t.co/K0shYNjRuL"
1516664677110935558,CradNsI,Wed Apr 20 06:26:51 +0000 2022,-118.4119065,34.0207895,It’s 🌽 starch season
1516664679745040386,Heidi4Property,Wed Apr 20 06:26:52 +0000 2022,-118.1567105,33.809171500000005,@joncoopertweets Rambling fragmented words.. ugh...
1516664680516837379,TheCurtisJr_,Wed Apr 20 06:26:52 +0000 2022,-73.754737,41.0262045,"@brantheelite Is your hand not covered in skin? 👀 also, I’ll be there Sunday, we going out 🤷🏾‍♂️"
1516664684656562176,bmxbillyclark,Wed Apr 20 06:26:53 +0000 2022,-120.58340150000001,44.1454365,@KXAN_News Park ranger is a mental midget psycho slamming an old lady over a simple no big deal boat ramp situation… https://t.co/92F02KVlVn
1516664685302534147,nisarahmad71,Wed Apr 20 06:26:53 +0000 2022,-73.709589,45.605568000000005,Sorry to say guys but our ** Chokidaar buzdil ha ** #امپورٹڈ_حکومت_نامنظور2
1516664688490074114,chismonaut,Wed Apr 20 06:26:54 +0000 2022,-117.104989,32.810012,found this while digging through some old tweets. only time I ever brought a camera to a game. his first (or one of… https://t.co/9gB5qbAb07
1516664694836183042,Envyk3Envy,Wed Apr 20 06:26:56 +0000 2022,-84.541562,33.588263,This mane said nigga couldn’t afford lucky charms instead he got marshmallows &amp; stars😂😂😂😂😂😂
1516664695649980423,PatrickCFoulke,Wed Apr 20 06:26:56 +0000 2022,-82.6694675,40.365159500000004,"Uh oh, this could be 1 thing"
1516664699810725894,x_tigbitties420,Wed Apr 20 06:26:57 +0000 2022,-96.29164850000001,30.585471499999997,Some smol man tried to hit on me tonight as if my taste in men isn’t on average 100 pounds more than he weighs
1516664699437428739,WETHEKINGDOM888,Wed Apr 20 06:26:57 +0000 2022,-79.861034,35.1704985,LOCK 🔐 &amp; KEY 🔑 ♠️😎🧤👽🔥 https://t.co/OjTOKudYn9
1516664702851444744,MichaelWX18,Wed Apr 20 06:26:58 +0000 2022,-121.83373,39.747037,"Not much chatter on the scanner, so I’m hopping off and heading to bed. I’ll provide some links below. Stay safe ev… https://t.co/UDZsp6XyPK"
1516664705560940545,wooster,Wed Apr 20 06:26:58 +0000 2022,-122.4359785,37.7706565,Still waiting for the global markets to have the freak out I had back in mid-December when I did the math on the ne… https://t.co/w16xLIqHqe
1516664706135515139,DanningGod,Wed Apr 20 06:26:58 +0000 2022,-118.4119065,34.0207895,How to get in PXN 😶‍🌫️
1516664711684759560,michelelabelle,Wed Apr 20 06:27:00 +0000 2022,-121.41585,38.5878938,Just a portrait of a handsome Northern Pintail who seems to have decided to skip migration in favor of a permanent… https://t.co/D7UE51uiST
1516664715123994627,Jagwire23,Wed Apr 20 06:27:01 +0000 2022,-111.5605185,33.198235499999996,Ayton? Naw man we’re looking for a real hero https://t.co/ige4ZY2RNg
1516664716751343622,undomaggie,Wed Apr 20 06:27:01 +0000 2022,-122.455344,47.242960499999995,@g_wreck @thursdayband @STYGoc I love this for you
1516664716638138369,BrandonLive,Wed Apr 20 06:27:01 +0000 2022,-122.3306025,47.614817,"@Lanooba That said, the timeline depicted there for beyond Senior is wacky too. I’m sure it’s possible, but doesn’t… https://t.co/HWctWkmLzy"
1516664718932561920,CaptainB_Money,Wed Apr 20 06:27:01 +0000 2022,-78.94744800000001,43.0104705,@ZaraPhotos1 @TommieJoBabe I'd hit both of your spots.
1516664718882078720,pdxpolicelog,Wed Apr 20 06:27:01 +0000 2022,-122.553802,45.519425,"VANDALISM - COLD at 400 SE 106TH AVE, PORT [Portland Police #PP22000104289] 23:07 #pdx911"
1516664726981279744,DatGuyGabe,Wed Apr 20 06:27:03 +0000 2022,-117.96853999999999,33.769045,Cuz an SEO is only as Good as the Tools they have. Thus always expanding the tool budget.. 😆and we like new toys.
1516664731880222723,silverorca007,Wed Apr 20 06:27:05 +0000 2022,-118.130426,33.9376735,@jenmercieca @TheRickWilson We don’t have democracy if we did Hillary would have been in the White House
1516664738859659264,CrewsWirl,Wed Apr 20 06:27:06 +0000 2022,-76.62048200000001,39.284712999999996,@1Zavio_love DAMNNN Honey !!👀😍🌷🌹Im saying 👀🙄really though luv....i bet u even taste 😜ummm just like honey I bet....😍✌🏿
1516664741061660675,FaltusEugene,Wed Apr 20 06:27:07 +0000 2022,-71.566171,44.00123,This is the result of banning math books. One billion migrants? 🤣 Just a typical GOP intellectual heavy weight. Or… https://t.co/icSCtSXzrf
1516664742630215685,Keepupwitit95,Wed Apr 20 06:27:07 +0000 2022,-118.1074395,34.0101865,@FatBodGod after EDC
1516664743263543296,DeeJayBranNu,Wed Apr 20 06:27:07 +0000 2022,-120.49034,35.0279305,Your favorite WR could never 🥱
1516664745381797894,BrandonHonaker1,Wed Apr 20 06:27:08 +0000 2022,-83.94716249999999,39.6902135,This is too funny
1516664746271031301,prodscuba,Wed Apr 20 06:27:08 +0000 2022,-92.342322,34.721886,Ladies…. Math a turn on? Nah fr
1516664747076161537,frivnkie,Wed Apr 20 06:27:08 +0000 2022,-122.3306025,47.614817,the cost of existing in the same time as beyoncé is existing in the same time as ted cruz
1516664746652561410,PrecinctThe,Wed Apr 20 06:27:08 +0000 2022,-115.135165,36.0609645,@Nvpatriot2 And another NV democrat is cheering a beheading of a citizen https://t.co/oBEb5dI4H0
1516664749345361926,ToureDeTrap,Wed Apr 20 06:27:09 +0000 2022,-77.0143985,38.898602999999994,The best thing about concerts is just vibing with friends
1516664749919985669,ayyiden,Wed Apr 20 06:27:09 +0000 2022,-97.754724,30.323345500000002,i love when the streets are wet at night it feels like i’m on set
1516664750792486915,WhatIsAtlanta,Wed Apr 20 06:27:09 +0000 2022,-84.433106,33.7671945,@CentennialYards Why is the bridge not strictly for pedestrians and cyclists? Seems like a missed opportunity to ha… https://t.co/jbF9EXifla
1516664751752814599,iamkingtobster,Wed Apr 20 06:27:09 +0000 2022,-106.026119,34.166235,Have a safe flight ✈️
1516664752822382593,WakePilgrims,Wed Apr 20 06:27:09 +0000 2022,-121.3820915,38.4215345,Keep it lit pilgrims
1516664753560571904,lukobe,Wed Apr 20 06:27:10 +0000 2022,-122.3306025,47.614817,@morganarae At least they were consistent in implementing their obnoxious policy
1516664754244231170,NYPDTips,Wed Apr 20 06:27:10 +0000 2022,-73.95,40.65,"Just posted a photo @ Brooklyn, New York https://t.co/f7tU4dD3DP"
1516664754886127620,BaconArrii,Wed Apr 20 06:27:10 +0000 2022,-74.7135835,40.278782,@suhdayjuh @virgothanos @DarthSwole_3000 @_pure_444 AMEN https://t.co/1OvEhCmVWq
1516664759554256900,cultofJT,Wed Apr 20 06:27:11 +0000 2022,-122.4359785,37.7706565,@kingrat @chrisarvinsf You believe what he says? I don’t. People who have never heard of him are blocked. It’s not… https://t.co/j1lljF73oc
1516664760917442564,nisarahmad71,Wed Apr 20 06:27:11 +0000 2022,-73.709589,45.605568000000005,Sorry to say guys but our ** Chokidaar buzdil ha ** #امپورٹڈ_حکومت_نامنظور3
1516664762171629571,spacejam4900,Wed Apr 20 06:27:12 +0000 2022,-75.117998,40.0048655,Yeah she don’t play that Holmes
1516664763954040832,CDMoraila,Wed Apr 20 06:27:12 +0000 2022,-101.816092,35.2111155,You ever become an aunt/uncle without your #consent?
1516664764134428672,beingcurtwithit,Wed Apr 20 06:27:12 +0000 2022,-118.4119065,34.0207895,Can the @spicegirls get back together plzzz! #spicegirls
1516664765518516227,dbyobama07,Wed Apr 20 06:27:13 +0000 2022,-111.681735,43.9637135,There is no way we can have him looking good while we murder him. It will be harder to explain she says . I can’t r… https://t.co/j5YTelm1Ld
